"Adjusted Ending Value with Multiple and Unfunded",2/1/2021,"Venture Capital and Private Equity _NEW ",USD,GroupBy1,GroupBy2,GroupBy3,Investment,Commitment,"Unfunded Commitment",Funding,"Additional Fees",Cash,Stock,"Valuation Date","Reported Valuation",Adjustments,"Adjusted Valuation",IRR,TVPI
,,,,"Kamehameha Schools - Financial Assets Division",,,"SVB Strategic Investors Fund II, L.P.","30,000,000","2,100,000","27,743,498","104,913","53,587,330",0,9/30/2020,"5,503,671","-722,882","4,780,789",11.31,2.10
,,,,"Kamehameha Schools - Financial Assets Division",,,"SVB Strategic Investors Fund III, L.P.","25,000,000","2,125,000","22,550,000","228,648","34,833,071",0,9/30/2020,"15,388,381","-1,550,034","13,838,347",10.94,2.14
,,,,"Kamehameha Schools - Financial Assets Division",,,"TA Subordinated Debt Fund II, L.P.","2,000,000","260,000","1,740,000",0,"2,431,012",0,9/30/2020,"10,195",0,"10,195",8.78,1.40
,,,,"Kamehameha Schools - Financial Assets Division",,,"TA X, L.P.","6,000,000","210,000","5,790,000",0,"7,628,357",0,9/30/2020,"2,392","-2,357",35,5.18,1.32
,,,,"Kamehameha Schools - Financial Assets Division",,,"TA XI, L.P.","10,000,000","150,000","9,850,000","119,147","23,086,511","135,575",9/30/2020,"10,796,845","-1,951,410","8,845,435",25.83,3.22
,,,,"Kamehameha Schools - Financial Assets Division",,,"TA XII LP","6,000,000","60,000","5,845,500","94,500","4,606,862",0,9/30/2020,"8,180,911","-716,488","7,464,423",33.57,2.03
,,,,"Kamehameha Schools - Financial Assets Division",,,"TA XIII LP","17,000,000","7,650,000","9,350,000",0,0,0,9/30/2020,"7,138,742","2,550,000","9,688,742",7.01,1.04
,,,,"Kamehameha Schools - Financial Assets Division",,,"TCV IX LP","20,000,000","4,124,000","15,211,670","664,330","6,336,132","1,099,053",9/30/2020,"30,019,798","-6,336,132","23,683,666",30.46,1.96
,,,,"Kamehameha Schools - Financial Assets Division",,,"TCV VIII LP","20,000,000","2,564,997","16,315,828","1,119,175","681,731","1,936,512",9/30/2020,"35,505,386",0,"35,505,386",16.74,2.19
,,,,"Kamehameha Schools - Financial Assets Division",,,"TCV X LP","20,000,000","7,314,000","12,033,933","652,067",0,0,9/30/2020,"14,742,326","1,273,871","16,016,197",24.78,1.26
,,,,"Kamehameha Schools - Financial Assets Division",,,"Technology Crossover Ventures VI, L.P.","10,000,000","47,000","9,953,000","-50,000","10,513,052","4,827,862",9/30/2020,"166,020",0,"166,020",12.43,1.57
,,,,"Kamehameha Schools - Financial Assets Division",,,"Technology Crossover Ventures VII, L.P.","15,000,000","240,000","14,827,500","7,163","22,652,604","16,842,819",9/30/2020,"6,101,892","-96,456","6,005,436",23.22,3.07
,,,,"Kamehameha Schools - Financial Assets Division",,,"Technology Partners Fund VIII, L.P. (HTI)","5,000,000",0,"4,420,139","579,861","3,279,340","1,194,227",9/30/2020,"210,769",0,"210,769",-1.90,0.94
,,,,"Kamehameha Schools - Financial Assets Division",,,"Technology Partners Fund VIII, L.P. (VC)","5,000,000",0,"4,420,139","579,861","3,279,340","1,194,227",9/30/2020,"210,769",0,"210,769",-1.90,0.94
,,,,"Kamehameha Schools - Financial Assets Division",,,"Telegraph Hill Partners III, L.P.","15,000,000","613,500","12,742,140","1,647,356","1,566,050",0,9/30/2020,"19,323,970","27,563","19,351,533",10.06,1.45
,,,,"Kamehameha Schools - Financial Assets Division",,,"Terra Firma Capital Partners III, L.P.","12,149,000","48,321","12,069,802","1,652,288","6,132,442",0,9/30/2020,"650,619","-589,196","61,423",-9.16,0.45
,,,,"Kamehameha Schools - Financial Assets Division",,,"Thayer Equity Investors III, L.P.","19,718,293",0,"18,463,282","2,579,472","28,182,603",0,4/14/2006,0,0,0,9.78,1.34
,,,,"Kamehameha Schools - Financial Assets Division",,,"Thayer Equity Investors IV, L.P.","30,000,000","346,268","27,528,541","3,272,337","22,116,295",0,6/30/2015,0,0,0,-4.54,0.72
,,,,"Kamehameha Schools - Financial Assets Division",,,"The Founders Fund VII LP","17,500,000","12,600,000","4,900,000",0,0,0,9/30/2020,"2,781,263","2,275,000","5,056,263",6.34,1.03
,,,,"Kamehameha Schools - Financial Assets Division",,,"Thoma Bravo Discover Fund III LP","10,000,000","10,000,000",0,0,0,0,,N/A,0,0,N/A,N/A
,,,,"Kamehameha Schools - Financial Assets Division",,,"Thoma Bravo Fund XIV LP","15,000,000","15,000,000",0,0,0,0,,N/A,0,0,N/A,N/A
,,,,"Kamehameha Schools - Financial Assets Division",,,"Thompson Street Capital Partners IV LP","20,000,000","-523,422","19,566,450","1,795,892","10,069,677",0,9/30/2020,"25,413,212","-2,584,537","22,828,675",17.28,1.54
,,,,"Kamehameha Schools - Financial Assets Division",,,"Thrive Capital Partners IV LP","625,000","6,091","569,606","49,303",0,"143,862",9/30/2020,"2,373,089",0,"2,373,089",31.59,4.07
,,,,"Kamehameha Schools - Financial Assets Division",,,"Thrive Capital Partners IV Supplemental LP","375,000","5,114","353,320","16,566",0,"415,653",9/30/2020,"1,069,710",0,"1,069,710",41.07,4.02
,,,,"Kamehameha Schools - Financial Assets Division",,,"Thrive Capital Partners V LP","10,000,000","755,667","8,492,239","752,094",0,"4,274,977",9/30/2020,"15,243,647","756,682","16,000,329",39.00,2.19
,,,,"Kamehameha Schools - Financial Assets Division",,,"Thrive Capital Partners VI Growth LP","7,200,000","2,149,590","5,032,012","18,398",0,0,9/30/2020,"5,153,349","565,968","5,719,317",19.34,1.13
,,,,"Kamehameha Schools - Financial Assets Division",,,"Thrive Capital Partners VI LP","4,800,000","1,998,877","2,603,592","197,531",0,0,9/30/2020,"1,391,062","1,313,503","2,704,565",-6.55,0.97
,,,,"Kamehameha Schools - Financial Assets Division",,,"TI Platform Fund I LP","5,000,000","897,435","5,636,594","312,424","1,697,185",0,9/30/2020,"5,882,682","90,918","5,973,600",10.87,1.29
,,,,"Kamehameha Schools - Financial Assets Division",,,"TI Platform Fund II LP","5,000,000","2,717,863","2,298,682","178,268","71,009",0,9/30/2020,"1,591,354","522,720","2,114,074",-11.26,0.88
,,,,"Kamehameha Schools - Financial Assets Division",,,"Trident Partnership, L.P.","5,000,000","1,336,117","3,648,614","15,270","5,111,863",0,8/19/2010,0,0,0,20.70,1.40
,,,,"Kamehameha Schools - Financial Assets Division",,,"Trustbridge Partners V LP","15,000,000","368,912","15,732,405","1,963,498","3,106,276",0,9/30/2020,"34,582,322","-900,164","33,682,158",18.57,2.08
,,,,"Kamehameha Schools - Financial Assets Division",,,"Trustbridge Partners VI LP","30,000,000","234,226","32,498,273","1,984,133","4,784,313",0,9/30/2020,"41,985,097","-407,834","41,577,263",20.95,1.34
